setup_code,setup_definition,trigger_code,trigger_definition,high_lookback_days,leader,laggard,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S2,rolling divergence,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,1,78,0.0003173245722527102,0.000391018999758852,9.714540598752499e-05,0.0020026622303532804,-0.00022017916626518522,0.0030760361081652032
S2,rolling divergence,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,2,78,-0.0006620126068291591,-0.0007592511327920715,-0.001528616714185447,-0.0002326164554143917,-0.0008666041073562878,0.004015520152048535
S2,rolling divergence,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,3,78,-0.00011564531306725912,-0.0013885035778283816,0.0005187498318183898,0.002054641893774578,0.0006343951448856489,0.0047686868265444105
S2,rolling divergence,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,4,78,0.0004653180759175125,-0.0007729505348837429,-0.0015891887795042368,0.0034574861436089677,-0.0020545068554217493,0.0031017131133452835
S2,rolling divergence,T1,relative-strength turn,252,QQQ,DIA,QQQ leads / DIA lags,5,78,0.00024916138363564096,-0.0019171774169032263,-0.002595972470828912,0.0013282602473216887,-0.002845133854464553,0.004551698859565301
S2,rolling divergence,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,1,35,-0.0002808606522652278,-0.0005537502773438341,-0.0001900515887310978,0.0008942897993620136,9.080906353412997e-05,0.000567816682946809
S2,rolling divergence,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,2,35,-0.000568589554634813,-0.0007149267159809458,0.001270508099930564,0.0018294960667040172,0.0018390976545653772,0.0
S2,rolling divergence,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,3,35,-0.0021279449440901243,-0.004138646289321146,-0.000884421409232775,-0.00012820958573089847,0.0012435235348573492,-0.00015581273312781363
S2,rolling divergence,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,4,35,0.0006534338852988438,-0.0014404160699386104,0.0028691659481111837,0.0012565251741483152,0.0022157320628123397,0.0005692509787653677
S2,rolling divergence,T5,gap compression,60,DIA,QQQ,DIA leads / QQQ lags,5,35,0.000982183625763411,0.0005710346171952096,0.0041430013705675145,0.003796698170608126,0.003160817744804104,0.0031356205019050787
S2,rolling divergence,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,1,83,-0.0015998140866370174,-0.00176276639888584,0.0007022376249116771,0.0007152669929324507,0.0023020517115486944,0.002128369542671038
S2,rolling divergence,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,2,83,-0.0025117260344603254,-0.002413448499348103,0.0011978907882327415,0.001202946531867033,0.0037096168226930667,0.004951861742279462
S2,rolling divergence,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,3,83,-0.0022248886535237147,-0.0034253825139656247,0.0019098438333783692,0.0016167831776323638,0.004134732486902084,0.00379376582302271
S2,rolling divergence,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,4,83,-0.0018671530765905307,-0.0022693603546770635,0.002167080152733234,0.004752136480610902,0.004034233229323765,0.005453062456094004
S2,rolling divergence,T5,gap compression,60,QQQ,DIA,QQQ leads / DIA lags,5,83,-0.00249356153090223,-0.0033409574703004985,0.0036928582111379776,0.004387068472650801,0.006186419742040207,0.006244354804282315
S2,rolling divergence,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,1,30,0.00012784614791429006,-0.0001725282298693509,0.0008530529932545956,0.0009270545970415656,0.0007252068453403056,0.0006594711300313971
S2,rolling divergence,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,2,30,0.00023393432297035647,-0.0010868285741240657,0.002823870768318926,0.0021194748439213873,0.0025899364453485694,0.004670236401298711
S2,rolling divergence,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,3,30,-0.0013741351374814545,-0.002769533148364034,0.0006610186010029458,0.0011184110210552545,0.0020351537384844004,0.0004296729301465074
S2,rolling divergence,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,4,30,0.0017610134594109835,0.0003959452929104268,0.005187075627929583,0.0014560483978249827,0.0034260621685185994,0.0024235881680432225
S2,rolling divergence,T5,gap compression,128,DIA,QQQ,DIA leads / QQQ lags,5,30,0.0017869186523186364,0.0005710346171952096,0.005663558646537363,0.003751676644854207,0.0038766399942187263,0.0043659243277706095
S2,rolling divergence,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,1,62,-0.00183267588748854,-0.0016143268336832883,0.0006782325936523253,0.0007283416842273072,0.0025109084811408655,0.002434452548054966
S2,rolling divergence,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,2,62,-0.0027969279757453225,-0.0028034397752239038,0.0018409296491461707,0.0021303845031610535,0.004637857624891493,0.004951861742279462
S2,rolling divergence,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,3,62,-0.0028175647243836926,-0.0023008850985558604,0.0022099485738621845,0.0016167831776323638,0.005027513298245878,0.003963146928952943
S2,rolling divergence,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,4,62,-0.0020565192366603707,-0.0022693603546770635,0.0025097396423216117,0.0032641296250977003,0.004566258878981983,0.005153753774182146
S2,rolling divergence,T5,gap compression,128,QQQ,DIA,QQQ leads / DIA lags,5,62,-0.0026692004255790026,-0.002744865679676356,0.004150268035741594,0.004387068472650801,0.006819468461320597,0.006855733960019594
S2,rolling divergence,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,1,28,6.590889533943298e-05,-0.0001725282298693509,0.0010918949635628386,0.001366952939780841,0.0010259860682234057,0.001212615984046428
S2,rolling divergence,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,2,28,0.0005117060366233241,-0.0010868285741240657,0.003106133284779572,0.0024094536211387574,0.002594427248156248,0.004670236401298711
S2,rolling divergence,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,3,28,-0.001215368268548769,-0.002769533148364034,0.0006911815588864183,0.0013288526596495487,0.0019065498274351872,0.0004296729301465074
S2,rolling divergence,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,4,28,0.0018382292315432774,0.0003959452929104268,0.005080557809085923,0.0014560483978249827,0.0032423285775426453,0.0024235881680432225
S2,rolling divergence,T5,gap compression,252,DIA,QQQ,DIA leads / QQQ lags,5,28,0.0021098919521829857,0.0005710346171952096,0.005904344996385742,0.003751676644854207,0.0037944530442027558,0.0043659243277706095
S2,rolling divergence,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,1,58,-0.001598909817316495,-0.0018572068946172693,0.00028087506369284444,0.0007414163755221637,0.0018797848810093395,0.00271128259110065
S2,rolling divergence,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,2,58,-0.002559978829387039,-0.003374352642853573,0.0010081074650845011,0.0011811591285424416,0.00356808629447154,0.004951861742279462
S2,rolling divergence,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,3,58,-0.0018921750609880955,-0.0023008850985558604,0.0011841420360402485,0.0015339291917918496,0.003076317097028344,0.0035292765066055054
S2,rolling divergence,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,4,58,-0.0007934335637853426,-0.0022693603546770635,0.0014992781860479075,0.002732740729015859,0.00229271174983325,0.004032624957178488
S2,rolling divergence,T5,gap compression,252,QQQ,DIA,QQQ leads / DIA lags,5,58,-0.001479484805736451,-0.002689072780886148,0.00227663148931385,0.0034547722407196613,0.0037561162950503013,0.005715418445618292
