setup_code,setup_definition,high_lookback_days,leader,laggard,direction,setup_idx,setup_date,trigger_code,trigger_window_days,trigger_idx,trigger_date,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_3d_turn,3,3155,2018-07-17,1,0.0029850292453472704,-0.001885935677831907,0.004870964923179177
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_3d_turn,3,3155,2018-07-17,2,-0.0019500417408595538,-0.006878531792224307,0.004928490051364753
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_3d_turn,3,3155,2018-07-17,3,-0.002077506029919518,-0.007100150141761019,0.005022644111841501
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_3d_turn,3,3155,2018-07-17,4,-0.00279421992031037,-0.003938507714026707,0.0011442877937163365
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3152,2018-07-12,T1_3d_turn,3,3155,2018-07-17,5,0.004975611809231895,0.00016645842311646675,0.004809153386115428
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_1d_turn,1,3320,2019-03-14,1,0.0052335791277327015,0.009281105280564805,-0.004047526152832104
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_1d_turn,1,3320,2019-03-14,2,0.007763264197271136,0.011684651102368937,-0.003921386905097801
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_1d_turn,1,3320,2019-03-14,3,0.007335118873946778,0.015086527559246443,-0.0077514086852996655
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_1d_turn,1,3320,2019-03-14,4,0.0011484663280896257,0.01911146857047208,-0.017963002242382453
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_1d_turn,1,3320,2019-03-14,5,0.010058843248254457,0.035042209303617566,-0.02498336605536311
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_2d_turn,2,3320,2019-03-14,1,0.0052335791277327015,0.009281105280564805,-0.004047526152832104
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_2d_turn,2,3320,2019-03-14,2,0.007763264197271136,0.011684651102368937,-0.003921386905097801
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_2d_turn,2,3320,2019-03-14,3,0.007335118873946778,0.015086527559246443,-0.0077514086852996655
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_2d_turn,2,3320,2019-03-14,4,0.0011484663280896257,0.01911146857047208,-0.017963002242382453
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_2d_turn,2,3320,2019-03-14,5,0.010058843248254457,0.035042209303617566,-0.02498336605536311
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_3d_turn,3,3328,2019-03-26,1,-0.0013651773896401487,-0.006422919492841128,0.0050577421032009795
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_3d_turn,3,3328,2019-03-26,2,0.002417087634228876,-0.004133145267303018,0.006550232901531894
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_3d_turn,3,3328,2019-03-26,3,0.010411062921730663,0.003406761139321368,0.007004301782409295
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_3d_turn,3,3328,2019-03-26,4,0.02312276409729286,0.01669882531707656,0.006423938780216298
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3319,2019-03-13,T1_3d_turn,3,3328,2019-03-26,5,0.02039268060369781,0.020552523615271268,-0.00015984301157345726
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_1d_turn,1,3674,2020-08-07,1,0.012818041314415218,-0.004272600511271429,0.017090641825686648
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_1d_turn,1,3674,2020-08-07,2,0.009359118848236259,-0.023133162909597993,0.03249228175783425
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_1d_turn,1,3674,2020-08-07,3,0.019736870432991438,0.001436439693237368,0.01830043073975407
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_1d_turn,1,3674,2020-08-07,4,0.017479208758568232,0.003720660004647991,0.013758548753920241
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_1d_turn,1,3674,2020-08-07,5,0.01886266702409012,0.002542179874506223,0.016320487149583895
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_2d_turn,2,3672,2020-08-05,1,0.006985596624119017,0.013244873574412175,-0.006259276950293158
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_2d_turn,2,3672,2020-08-05,2,0.009632164076127436,0.0015498069694879213,0.008082357106639515
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_2d_turn,2,3672,2020-08-05,3,0.022573670867617635,-0.0027294152478337663,0.0253030861154514
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_2d_turn,2,3672,2020-08-05,4,0.019081431492717904,-0.02161920787721372,0.040700639369931624
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_2d_turn,2,3672,2020-08-05,5,0.02955914328347875,0.002988472866972902,0.02657067041650585
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_3d_turn,3,3672,2020-08-05,1,0.006985596624119017,0.013244873574412175,-0.006259276950293158
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_3d_turn,3,3672,2020-08-05,2,0.009632164076127436,0.0015498069694879213,0.008082357106639515
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_3d_turn,3,3672,2020-08-05,3,0.022573670867617635,-0.0027294152478337663,0.0253030861154514
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_3d_turn,3,3672,2020-08-05,4,0.019081431492717904,-0.02161920787721372,0.040700639369931624
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3671,2020-08-04,T1_3d_turn,3,3672,2020-08-05,5,0.02955914328347875,0.002988472866972902,0.02657067041650585
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_1d_turn,1,3888,2021-06-15,1,-0.007716336587165307,-0.0036523938381485266,-0.00406394274901678
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_1d_turn,1,3888,2021-06-15,2,-0.013861402436839643,0.00899890449317664,-0.022860306930016283
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_1d_turn,1,3888,2021-06-15,3,-0.029016655837773797,0.0010808976154557115,-0.03009755345322951
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_1d_turn,1,3888,2021-06-15,4,-0.0120442787134305,0.007302490631041492,-0.019346769344471992
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_1d_turn,1,3888,2021-06-15,5,-0.010090236470097103,0.01669226034490401,-0.02678249681500111
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_2d_turn,2,3892,2021-06-21,1,0.0019778641909060646,0.009321698100815956,-0.0073438339099098915
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_2d_turn,2,3892,2021-06-21,2,0.0,0.009815175083079275,-0.009815175083079275
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_2d_turn,2,3892,2021-06-21,3,0.009445722672664969,0.01605898153648111,-0.0066132588638161405
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_2d_turn,2,3892,2021-06-21,4,0.01673657309055976,0.014810329704650682,0.0019262433859090766
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_2d_turn,2,3892,2021-06-21,5,0.011866009012121426,0.02715199747806807,-0.015285988465946643
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_3d_turn,3,3894,2021-06-23,1,0.009445722672664969,0.006183118067014881,0.003262604605650088
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_3d_turn,3,3894,2021-06-23,2,0.01673657309055976,0.004946602848546533,0.011789970242013226
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_3d_turn,3,3894,2021-06-23,3,0.011866009012121426,0.017168312402873642,-0.005302303390752217
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_3d_turn,3,3894,2021-06-23,4,0.012043213098204664,0.02084913340056227,-0.008805920302357606
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3887,2021-06-14,T1_3d_turn,3,3894,2021-06-23,5,0.018211934322755585,0.019238474998888977,-0.0010265406761333917
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_1d_turn,1,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_1d_turn,1,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_1d_turn,1,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_1d_turn,1,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_1d_turn,1,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_2d_turn,2,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_2d_turn,2,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_2d_turn,2,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_2d_turn,2,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_2d_turn,2,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_3d_turn,3,3896,2021-06-25,1,-0.00479038937650611,0.012161551190565278,-0.01695194056707139
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_3d_turn,3,3896,2021-06-25,2,-0.0046161022594956025,0.015824254250862424,-0.020440356510358026
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_3d_turn,3,3896,2021-06-25,3,0.0014510752059513354,0.014221523919611068,-0.012770448713659732
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_3d_turn,3,3896,2021-06-25,4,0.005544798103123805,0.014622049204567444,-0.00907725110144364
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3895,2021-06-24,T1_3d_turn,3,3896,2021-06-25,5,0.010132270233331742,0.026269011693073496,-0.016136741459741755
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_1d_turn,1,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_1d_turn,1,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_1d_turn,1,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_1d_turn,1,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_1d_turn,1,3899,2021-06-30,5,-0.001652077152763498,0.012245194578685448,-0.013897271731448946
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_2d_turn,2,3899,2021-06-30,1,0.004087791204708147,0.00039490907608463743,0.003692882128623509
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_2d_turn,2,3899,2021-06-30,2,0.008668616213323377,0.011878556596692125,-0.003209940383368748
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_2d_turn,2,3899,2021-06-30,3,0.0025227313418181296,0.01625180239302848,-0.013729071051210351
S1,same-day strict non-confirmation,60,QQQ,DIA,QQQ leads / DIA lags,3897,2021-06-28,T1_2d_turn,2,3899,2021-06-30,4,0.00571118345439392,0.01839615158623875,-0.012684968131844832
