setup_code,setup_definition,trigger_code,trigger_window_days,high_lookback_days,direction,horizon_day,sample_count,avg_excess_return,median_excess_return,avg_laggard_abs_return,median_laggard_abs_return,avg_leader_abs_return,median_leader_abs_return
S1,same-day strict non-confirmation,T1_2d_turn,2,128,QQQ leads / DIA lags,3,23,-0.000971997243583332,0.00230854918497736,0.004920843694535831,-0.00023125562256109955,0.005892840938119163,0.004090231624984453
S1,same-day strict non-confirmation,T1_2d_turn,2,128,QQQ leads / DIA lags,4,23,0.004557687998390798,0.0008113905627856743,0.007665117752537889,0.0021887718345363627,0.00310742975414709,-0.0006988596207869735
S1,same-day strict non-confirmation,T1_2d_turn,2,128,QQQ leads / DIA lags,5,23,0.0010145802341393376,-0.000950222784228627,0.0031593604507430396,0.0009304055076158058,0.0021447802166037018,0.0018806282918444328
S1,same-day strict non-confirmation,T1_2d_turn,2,252,QQQ leads / DIA lags,1,22,-0.001109370908417809,0.0008903276204794697,7.796818220130856e-05,0.00036815183447891364,0.0011873390906191176,0.00039490907608463743
S1,same-day strict non-confirmation,T1_2d_turn,2,252,QQQ leads / DIA lags,2,22,0.0032823932662125414,0.0033170113185041483,0.001870204398565571,0.006672424087409645,-0.0014121888676469705,0.008578443957580895
S1,same-day strict non-confirmation,T1_2d_turn,2,252,QQQ leads / DIA lags,3,22,-0.0012118178121138295,0.00230854918497736,0.006060788456821059,0.001145737859628515,0.007272606268934889,0.008964673061572004
S1,same-day strict non-confirmation,T1_2d_turn,2,252,QQQ leads / DIA lags,4,22,0.00841256422476444,0.0013688169743473755,0.0028947046788790442,0.00011253094199870084,-0.005517859545885396,-0.0011319812332392098
S1,same-day strict non-confirmation,T1_2d_turn,2,252,QQQ leads / DIA lags,5,22,0.007476252050737764,-0.000950222784228627,-0.0006420733572839808,0.0004590084127045202,-0.008118325408021744,0.0006995056152571122
S1,same-day strict non-confirmation,T1_3d_turn,3,60,QQQ leads / DIA lags,1,26,-0.0005490189773087889,0.0008903276204794697,0.000524256882581009,0.00036815183447891364,0.0010732758598897979,0.0007050760130793421
S1,same-day strict non-confirmation,T1_3d_turn,3,60,QQQ leads / DIA lags,2,26,0.004552322062431895,0.005467653666891059,0.002540307461110417,0.003593443109790595,-0.0020120146013214778,0.000535791212025849
S1,same-day strict non-confirmation,T1_3d_turn,3,60,QQQ leads / DIA lags,3,26,0.006734822474890071,0.005178569488646478,0.005706024038969133,-0.0003404891768495344,-0.0010287984359209378,-0.002758271916115329
S1,same-day strict non-confirmation,T1_3d_turn,3,60,QQQ leads / DIA lags,4,26,0.010631343657749075,0.0051482218231799215,0.00831437895463867,0.0021887718345363627,-0.0023169647031104058,-0.00231868366740684
